scheme_name,details,benefits,eligibility,app_process,docs_reqd,url
Airavata Scheme,"This scheme envisages partnership with corporate aggregators like OLA and UBER to facilitate self-employment of rural youth through Radio Taxi and other successful cab transport ventures. Rural youth from SC/ST communities will be provided training, mentoring and other financial assistance to ensure secure and enhanced livelihoods. A subsidy of Rs. 5,00,000 will be offered to beneficiary to purchase a light motor vehicle through which not only will the beneficiary generate revenue but also it reduces the burden of EMI on the beneficiary.",Beneficiary: Unemployed youth The beneficiaries will get up to rupees 5 lakh subsidy and financial help from the government side.The Karnataka government will cover around 1000 SC/ST Taxi drivers and this Airavata scheme.When other state social welfare department dr. Bhimrao Ambedkar Development Corporation can work together with the government to provide the full benefit of the SC-ST community.This will help people to become self-dependent and provide the opportunity of employment.Due to covid-19 who have lost their jobs can now become an entrepreneur.Karnataka Airavata Taxi scheme uh uh often the opportunity of self-employment for poor peoples.The government will invest around 225 crore rupees in this Yojana.The Madiga and its related community in Karnataka will be able to make their life more secure.The beneficiaries will get a 50% subsidy on the scheme.The remaining money should be arranged by the applicants.,"1. The applicant should belong to the Scheduled caste community
2. The applicant should be a resident of Karnataka
3. The applicant should be above 21 years of age
4. The applicant must hold a valid driving license and a cab badge
5. The applicant’s family annual income should not exceed Rs. 5,00,000/-
6. Applicant will be considered ineligible if they/their family member has earlier availed a subsidy from the Corporation/Government of Karnataka exceeding Rs.1,00,000.
7. The selection of applicants will be based on merit and merit will be decided upon parameters such as Age, Education qualification, cab badge and years of driving experience","Step 1. First of all, visit the official website of the scheme.
Step 2. You will be redirected to the homepage.
Step 3. On the Homepage, the option Karnataka Airavata scheme registration form.
Step 4. After that, you will be redirected to the application form.
Step 5. Before going to fill in all the details on the application form.
Step 6. You need to sign in under the Airavata scheme.",Aadhar cardBonafide certificatePAN cardRashan cardPassport size photographDriving LicenseCategory certificateAge proof certificateValid mobile number,https://www.myscheme.gov.in/schemes/airavata
"ICMR- Post Doctoral Fellowship","ICMR- Post Doctoral Fellowship (ICMR-PDF) Scheme is being instituted to foster high-quality research opportunities for promising fresh Ph.D./MD/MS holders in the cutting-edge areas of basic science, communicable and non-communicable diseases, and reproductive health including nutrition at ICMR Institutes /Centers. Special focus will be on fundamental research in areas of science and other priority areas identified by ICMR from time to time. ICMR intends to offer fifty (50) such fellowships every year for working in ICMR Institutes/Centers with state-of-the-art R&D facilities. These fellowships will be allocated by the Director General, ICMR, depending upon the needs of the ICMR Institute/Centre.","ICMR-PDFs will be paid a consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) as per Govt. of India rule and Non-Practicing allowance (NPA) as admissible.There is a contingency grant of ₹3,00,000/- per annum.25% of the contingency grant can be used for travel including per diem expenses (only for National travel, related to ICMR-PDF proposed research work only).","ICMR-PDF is open to Indian nationals only.Fresh PhDs/MD/MS within three years of completing their Ph.D./MD/MS degree (awarded) as on the last date of the application and also those who have received their provisional Ph.D./MD/MS degree can apply.The Post-Doctoral proposed research work should be the continuation of the Ph.D. or MD/MS research work. If not, then the application will not be considered.The maximum age limit is 32 years, relaxable up to 5 years in case of SC/ST/OBC/PH and women candidates, as on the last date of application.For deserving candidates age can be relaxed maximum up to a maximum of 3 years based on earlier work done, publications, awards, etc. along with the request by the sponsoring Director/Director-in-Charge. Director General, ICMR may consider and relax on the recommendation of the screening committee.The PDF Guide should have the minimum designation of Scientist-C grade.Postgraduate medical students are also permitted to carry out ICMR’s PDF in MCI-recognized postgraduate medical colleges wherein a minimum of three batches have obtained their postgraduate degrees.","1.	Passport-size Photograph
2.	Attested copy of School Leaving/ High School/Secondary School Certificate (for date of birth)
3.	Attested copies of Mark Sheets/Grade Cards & Degrees
4.	Attested copy of the Caste certificate, if applicable
5.	Reprints of publications
6.	One-page summary of Ph.D. thesis
7.	Attested copies of Letter(s) of Acceptance for paper(s) accepted for publication & pre-prints
8.	Detailed research proposal
9.	Testimonials from two Referees (One should be Ph.D. Guide)
10.	Plagiarism Check Report verified by ICMR-RIO","1.        Passport-size Photograph
2.        Attested copy of School Leaving/ High School/Secondary School Certificate (for date of birth)
3.        Attested copies of Mark Sheets/Grade Cards & Degrees
4.        Attested copy of the Caste certificate, if applicable
5.        Reprints of publications
6.        One-page summary of Ph.D. thesis
7.        Attested copies of Letter(s) of Acceptance for paper(s) accepted for publication & pre-prints
8.        Detailed research proposal
9.        Testimonials from two Referees (One should be Ph.D. Guide)
10.        Plagiarism Check Report verified by ICMR-RIO",https://www.myscheme.gov.in/schemes/icmr-pdf
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,"""Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students"" is a Scholarship Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only and will be awarded by the Government of State/Union Territory to which the applicant actually belongs, i.e. permanently settled.","Degree and Post Graduate level courses including M.Phil., PhD and Post Doctoral research in Medicine (Allopathic, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Technology, Agriculture, Veterinary and Allied Sciences, Management, Business Finance/Administration, Computer Science/Applications.Post Graduate Diploma courses in various branches of management & medicine.C.A./ I.C.W.A./ C.S./ I.C.F.A. etc.M. Phil., Ph.D. and Post-Doctoral Programmes (D.Litt., D.Sc. etc.).L.L.M","The scholarships will be open to Indian nationals belonging to the General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes).These scholarships will be given for the study of all recognized post-matriculation or post-secondary courses pursued in Government institutions.Students pursuing Post-graduate courses in medicine will be eligible if they are not allowed to practice during the period of their course.Students who after failing or passing the undergraduate/Post-Graduate examinations in Arts/Science/Commerce join any recognized professional or Technical certificate/diploma/degree courses will be awarded scholarships if otherwise eligible. No subsequent failure will be condoned except for courses in Group 'A' and no further change in the course will be allowed.Students who pursue their studies through correspondence courses will be eligible towards reimbursement of a non-refundable fee. The term correspondence includes distant and continuing education. Besides reimbursement of non-refundable fees, such students will also be eligible for an annual allowance of Rs. 900/- for essential/prescribed books, as applicable.Only two boys of the same parents/guardians will be entitled to receive scholarships. This restriction will, however, not apply to girls. Accordingly, scholarships availed by girls of the same parents/guardian will not adversely affect the admissibility of availing scholarships upto two boys of the same parents/guardian.A scholarship holder under this Scheme will not hold any other scholarship/stipend. If awarded any other scholarship/stipend, the student can exercise his/her option for either of the two scholarships/stipends, whichever is more beneficial to him/her and should inform the awarding authority through the Head of the Institution about the option made. No scholarship will be paid to the students under this Scheme from the date he/she accepts any other scholarships/stipend. The student can, however, accept free lodging or a grant or ad-hoc monetary help from the State Government or any other source for the purchase of books, and equipment or for meeting the expenses on board and lodging, in addition to the scholarship amount paid under this Scheme.Scholarship holders who are receiving coaching in any of the pre-examination training centres with financial assistance from the Central Government/State Government will not be eligible for a stipend under the coaching schemes for the duration of the coaching programme.Employed students whose income combined with the income of their parents/guardians does not exceed ₹ 1,00,000 per annum shall be eligible for post-matric scholarships to the extent of reimbursement of all compulsorily payable non-refundable fees.In the case of unemployed students whose parents/guardians income from all sources does not exceed ₹ 1,00,000 per annum will be entitled to the scholarship under the Scheme.","Step 1:   Visit the National Scholarship Portal and click “New Registration”. The guidelines for Registration will appear. Scroll to the bottom. Read carefully the undertaking. Accept the Terms. Click “Continue”.
 
Step 2:  A Registration Form will appear. (The fields marked as * are compulsory). Fill in the details and click “Register”.  Your Application ID and password will be displayed. The same will also be sent as an SMS to your registered mobile number. 


Step 3:  Go to https://scholarships.gov.in/fresh/newstdRegfrmInstruction. Click on “Login to Apply”. Enter your Application ID and password. Type the Captcha and click “Login”. On the next screen, provide the OTP received on your registered mobile number. You will be directed to the Password Reset screen. Create a new password and confirm. Click “Submit”. You will be directed to the “Applicant’s Dashboard”.


 Step 4:  On the left pane, click “Application Form”. The fields marked as * are compulsory. Fill in the details and upload the documents. You can either click on “Save as Draft” to complete the application later. Else, click “Final Submit” to submit the application.","One copy of the application for the scholarship in the prescribed form (a separate application form may be prescribed by the concerned State Government/UT for a 'fresh' and 'renewal' scholarship).One copy of the passport-size photograph with signatures of the student thereon (for fresh scholarship)One attested copy of each of the certificates/diplomas/degrees etc., with respect of all examinations passedA certificate (in original) of income issued by an authorized Revenue Officer, not below the rank of Tehsildar.A receipt in acknowledgement of the scholarship in the previous year on the form attached to the application only duly countersigned by the Head of the Institution concerned, if the applicant was in receipt of a scholarship under this Scheme in the preceding year.",https://www.myscheme.gov.in/schemes/dacsspostmsebcs
Stipend to Scheduled Caste Trainees in Technical Training Institutions,"The scheme “Stipend to Scheduled Caste Trainees in Technical Training Institutions” was implemented by the Adi Dravidar Welfare and Scheduled Tribes Welfare Department, Union Territory of Puducherry. The objective of the scheme is to provide financial support to Scheduled Tribe candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry.","	Under this scheme, a stipend is paid at the rate of ₹170/- per month per trainee for the whole period of training.",The candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry are eligible to apply under the scheme.The candidate should belong to the Scheduled Caste community.There is no income limit to apply under the scheme.,"Step 01: The students applying for the scholarship for the first time need to ""Register"" using the icon “New Registration” at the NSP Portal URL - https://scholarships.gov.in/, by providing accurate and correct information as per their documents.
Step 02: After successfully get registration done, students will get their “Student Registration ID”.
Step 03: Through “Student Registration ID” students will be able to login into the account using the icon “Fresh Application” at NSP Portal.
Step 04: After successful login to the portal, the welcome page appeared. On clicking the “Application Form” icon, students will be directed to the application screen.
Step 05: Now, the students may fill out the complete application form and on clicking the “Final Submit” button, the application is finally submitted.
Step 06: On successful submission of the application, a system-generated registration number is sent to the students which can be used for future reference.
","1.	Identity proof i.e. Aadhaar Card
2.	Passport size photograph
3.	Educational documents/certificates i.e. Mark sheets
4.	Caste certificate
5.	Nativity Certificate issued by the Competent Revenue Officials
6.	Bank Account details
7.	Any other document, as required
",https://www.myscheme.gov.in/schemes/sscttti
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,"The scheme “Award of Opportunity Cost to Parents of Scheduled Caste Girl Students” was implemented by the Adi Dravidar Welfare Department, Government of Puducherry to financially assist the Scheduled Caste parents for sending school their daughters who otherwise earn livelihood for the family engaging themselves in menial labour.","Under this scheme, ₹3,000/- per academic year is payable to the Scheduled Caste parent for each daughter studying in classes VI to XII standard.","The student should be a girl student studying in Class VI Standard to XII Standard of a Government or Government recognized educational institution in the Union Territory of Puducherry.The students should belong to the Scheduled Caste community.The girl student and her parent/guardian should be a native of the Union Territory of Puducherry either by virtue of birth or by continuous residence	for a period of not less than 3 years.The annual income of the parents shall not be more than ₹24,000/-.","Step 01: The students applying for the scholarship for the first time need to ""Register"" using the icon “New Registration” at the NSP Portal URL - https://scholarships.gov.in/, by providing accurate and correct information as per their documents.
Step 02: After successfully get registration done, students will get their “Student Registration ID”.
Step 03: Through “Student Registration ID” students will be able to login into the account using the icon “Fresh Application” at NSP Portal.
Step 04: After successful login to the portal, the welcome page appeared. On clicking the “Application Form” icon, students will be directed to the application screen.
Step 05: Now, the students may fill out the complete application form and on clicking the “Final Submit” button, the application is finally submitted.
Step 06: On successful submission of the application, a system-generated registration number is sent to the students which can be used for future reference.
","1.	Identity proof i.e. Aadhaar Card
2.	Passport size photograph
3.	Educational documents/certificates i.e. Mark sheets
4.	Caste certificate
5.	Income certificate
6.	Residence-cum-nativity certificate issued by the competent authority
7.	Bank Account details",https://www.myscheme.gov.in/schemes/aocpscgs
"Scholarship For Transgender Students
","The scheme “Scholarship for Transgender Students” was launched by the Social Justice Department, Government of Kerala for providing scholarships to Transgender students from 7th standard onwards studying in State Government/ Government aided/ Self Financing schools.
       The Transgender community faces many problems such as fear, shame, social discrimination, depression, suicidal tendencies, and social stigma. They are unable to live a dignified life, once their gender status is revealed. Steps must be taken to create public awareness so that Transgender feel that they are a part of society and are not treated as untouchables. As an effort to bring marginalized Transgender communities to the mainstream of society, Social Justice Department has initiated this scheme.
","For Transgender students from 7th std. to 10th std.:  ₹1000/- per month for 10 monthsFor Transgender students studying in Plus One & Plus Two:  ₹1500/- per month for 10 monthsFor Transgender students pursuing Diploma, Degree, Post-Graduation, or Professional courses:  ₹2000/- per month for 10 months","1.	Applicant should be Transgender.
2.	Applicant should be a resident of Kerala.
3.	Applicant should be a student and studying in State Government/ Government aided/ Self Financing schools/colleges.
4.	The applicant should be studying in 7th Class to Diploma/Degree/PG Level.
5.	There is no income limit.","Step 01: To avail of the benefits of the scheme, the applicant needs to visit SUNEETHI- Online Service Application Portal
Step 02: On the home page, click on “One time Registration”
Step 03: Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’.
Step 04: The applicant needs to enter the verification code receive on the mobile number and click on ‘Verify’.
Step 05: Now, a form will open to create a new profile, fill in all the mandatory details and click on ‘Register’.
","Identity card i.e. Aadhaar Card, Election ID/ Voter IDMobile numberEmail idPassport size photoSelf-declaration Affidavit stating that the applicant is Transgender.Bank details- Copy of Pass BookRation Card (If applicable)Certificate issued by the Principal of the Educational InstitutionEducational Certificates/Course CertificatesThe applicant who has not completed 18 years of age Parent's Certificate / Applicant who has completed 18 years of age and ID Card is not available-Self attested certificate.Other documents, if any",https://www.myscheme.gov.in/schemes/sts
"Scholarships to Students with Disabilities Scheme
","The scheme “Scholarships to Students with Disabilities Scheme” was started by the Department of Social Security and Women & Child Development, Government of Punjab in the year 1996. The objective of the scheme is to assist students with disabilities to secure education, academic, technical, or professional training to enable them to earn a living and become useful members of society. This scheme is fully state-sponsored.","1.	Under this scheme, scholarship @ ₹200/- per month per Student with Disability for education for class 1st to 8th.
2.	Scholarship @₹300/- per month per the student with Disability for education/training from 9th Class onwards.
Note: The Directorate shall credit the scholarship online in the bank account of the student.","All students of Punjab having 40 % and above disability (In any disability contained in the schedule of RPwD Act 2016) certificate.The monthly income of family/guardians should not exceed ₹5,000/- per month.The candidate should have secured at least 40% marks in the previous annual examination.The scholarship will be provided to each student with disability from 1st class onwards.","Application for the scholarship is submitted to the Head of school/college/ institution who after verifying it shall forward it to the District Social Security Officer (DSSO) of the concerned district.
Whom to contact:
Office of District Social Security Officer
","1.	Disability Certificate/ UDID showing 40% and above disability
2.	Income certificate showing less than ₹ 60,000/- per year income of parents
3.	Copy of the bank account details
",https://www.myscheme.gov.in/schemes/ssds-punjab
Arivu Education Loan Scheme,"The ""Arivu Education Loan Scheme"" was launched by the Minorities Welfare Department, Government of Karnataka, and is implemented by the Karnataka Minorities Development Corporation. The scheme aims to provide loans to students who wish to pursue professional courses such as M.B.B.S., M.D., M.S., B.E., B.Tech., M.E., M.Tech., B.D.S., M.D.S., B.Ayush, M.Ayush, M.B.A., M.C.A., L.L.B., B.Arch, M.Arch, B.Sc. in Horticulture, Agriculture, Dairy Technology, Forestry, Veterinary, Animal Sciences, Food Technology, Biotechnology, Fisheries, Sericulture, Home/Community Sciences, Food Nutrition and Dietetics, B.Pharma, M.Pharma, Pharma.D, and D.Pharma.","Loan Amount:
The loan amount is granted from ₹50,000/- to ₹5,00,000/- every year until the course duration. 


Loan Renewal Process:
Renewal and pay 12% of the loan amount issued by the corporation during the previous year at their respective District Office.


Loan Repayment:
Repay the loan with service charges of 2% after 6 months of completion of the course.","The student should belong to the State Religious Minority Community.The student should be a permanent resident of the State.The annual income of the family should not exceed ₹8,00,000/-.","Application Process for Fresh Loan:
Step-01: Applicant need to visits the Karnataka Minorities Development Corporation official website. 
Step-02: Click ""Apply Online"" and Enter ""Mobile Number"" and ""Submit"".
Step-03: Enter ""Aadhaar Number"" Fill in the ""Captcha"" and Select ""Next"".
Step-04: Applicant will get OTP in his/her Aadhaar Linked Mobile Number.
Step-05: Enter ""OTP"" and select ""Continue"", After that Allow the official notice.
Step-06: After verifying the Aadhaar again fill in the ""OTP"" and Submit.
Step-07: Select the scheme ""Sikhligar’s Community Development Scheme"" and fill in the basic details father's name, gender, qualification detail
Step-08: Select ""Next"" Fill in the address detail and again select ""Next"".
Step-09: Upload the required document passport-size photo, educational document, income certificate, etc. 
Step-10: Click ""Proceed"" and Select ""Submit Application"" and get an Application ID.


Application Process for Renewal loan:
Step-01: Go to the Karnataka Minorities Development Corporation official website.
Step-02: Choose the ""Arivu Education Loan Scheme"" and click ""Apply Online.""
Step-03: Select ""ARIVU.Renewal"" Enter mobile number and ""Submit"".
Step-04: Applicant's personal, address, and bank details will be pre-filled from the previous application. No need to fill them again.
Step-05: Upload the required document and Submit the application. ","Document for Fresh Application
Recent Two Passport-size Photos of the Student.Student's Caste Certificate.Income Certificate.Aadhaar Card.CET Admission Letter.NEET Admission Letter.Student's SSLC/10th Marks Card Copy.Student's Diploma/PUC Marks Card.Indemnity Bond (Download the from the KMDC Website).Student’s College Bank Details.Student Bonafide/Study Certificate.Student Self-declaration Form (Download the from the KMDC Website).Parents Self-Declaration Form (Download the from the KMDC Website).College Fee Structure


Document for Renewal Loan
Bonafide/Study Certificate.College Fee Structure.Previous Year Passed Marks Card.College Bank Details.Security Deposit Paid Receipt (12% of Loan Amount).Copy of KEA Admission Order.",https://www.myscheme.gov.in/schemes/aels
Madilu Kit,"The Madilu Programme is a comprehensive initiative implemented by the government to uplift rural communities by providing them with the necessary skills and resources to improve their livelihoods. The program primarily focuses on skill development, entrepreneurship, and capacity building. By equipping individuals with relevant skills, such as agricultural techniques, handicraft production, and small business management, the Madilu Programme aims to create sustainable income-generating opportunities within rural areas.


Through targeted training sessions, workshops, and mentorship programs, participants are empowered to harness their potential and establish small-scale enterprises. The Madilu Programme also facilitates access to micro-financing options and provides guidance on market linkages, enabling participants to establish viable businesses and gain financial independence. Additionally, the program emphasizes the importance of gender equality and social inclusion, ensuring that marginalized groups have equal access to opportunities and benefits.",Empowerment of rural communities through skill development and entrepreneurship.Creation of sustainable livelihoods and reduction of poverty.Enhancement of social and economic well-being in rural areas.Increased income-generating opportunities for participants.Access to micro-financing options and market linkages.Promotion of gender equality and social inclusion.Strengthening of rural economies and local industries.,Individuals residing in rural areas are eligible to participate.Participants should have a willingness to learn and engage in skill development activities.There is no age restriction for participation in the program.Both men and women are encouraged to apply.Participants should demonstrate an interest in entrepreneurship and improving their livelihoods,"Step 1: Visit the official Madilu Programme website or the nearest Rural Development Office to obtain the application form.
Step 2: Fill out the application form with the required personal details, including contact information and relevant skills or areas of interest.
Step 3: Attach any supporting documents or certificates related to previous skills or entrepreneurial experience, if applicable.
Step 4: Submit the completed application form along with the supporting documents to the designated Rural Development Office or the specified submission location.
Step 5: The application will be reviewed by the selection committee, and eligible candidates will be shortlisted.
Step 6: Shortlisted candidates may be called for an interview or additional assessment to determine their suitability for the program.
Step 7: Successful applicants will be notified of their acceptance into the Madilu Programme and provided with further instructions on the program commencement and orientation.","Completed application form (obtained from the Madilu Programme website or Rural Development Office)Personal identification documents (e.g., Aadhaar card, passport, or voter ID)Proof of residence (e.g., utility bill, ration card, or land ownership document)Educational certificates or qualifications (if applicable)Certificates or documentation showcasing previous skills or entrepreneurial experience (if applicable)Income certificate or proof of income (if required for specific program benefits)Any other supporting documents relevant to the application or specific program requirements",https://www.myscheme.gov.in/schemes/madilu
Supply of Tool Kits to their Trained Workers,"The A.P. Building & Other Construction Workers Welfare Board launched a welfare scheme ""Supply of Tool Kits Karnataka"" to provide toolkits to construction workers who have undergone skill upgradation training in trades such as masonry, electrical, and plumbing. The scheme aims to improve workers' employability by equipping them with essential tools. Toolkits are procured through an e-procurement process, ensuring quality and cost-effectiveness. Each worker receives a toolkit valued at ₹2,000. ",Free toolkits are provided to trained workers.,The applicant should be a registered construction worker under the Andhra Pradesh Building and Other Construction Workers Welfare Board.,"Step-1: The interested applicant should visit (during office hours) the A.P. Building & Other Construction Workers Welfare Board and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required).
Step-3: Submit the duly filled and signed application form along with the documents to the Assistant Labour Officer/Assistant Commissioner of Labour.
Step-4: Request a receipt or acknowledgement from the Assistant Labour Officer/Assistant Commissioner of Labour to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar Card of the Worker.Registration Certificate with the Welfare Board.Bank Account Details.
Any Other Documents if required.",https://www.myscheme.gov.in/schemes/stkk
Stipend To Law Graduates,"The main objective of this scheme is to provide financial assistance in the form of a stipend to law graduates belonging to the SC/ST Communities so as to help them to practice in various courts and to do various training courses.Under this scheme, the Social Welfare Department, Government of Karnataka will give a stipend to the  Law Graduates belonging to the SC/ST Community residing in the state of Karnataka.This will help them to practice law in various courts and training courses will be organized under the Senior Advocates.Monthly stipend of Rs 5000 is given for a period of 4 years.The stipend is given to an SC/ST resident of Karnataka, who is a law degree holder from any State or Central government recognized University / Institution. The total income of the Applicant should be less than Rs. 2.0 lakhs.","Under this scheme, Monthly stipend of Rs 5000 will be given for a period of 4 years.Some training courses will also be organized under the Senior Advocates.",Applicant should be a resident of Karnataka state.Applicant should belong to the  SC/ST Community.Family income from all sources should be within Rs. 2 lakhs per annum.Maximum age limit allowed is 40 years.Law degree holder from any State/Central Government recognized University/InstitutionDuration of the Law Course should be either 3 years or 5 years,"Step 01: First go to the official website.


Step 02: Using your Aadhaar Card, do the registration and provide all the required information.


Step 03: Upload all the relevant documents.


Step 04: After Registration, an SMS will be sent to the applicant and they can print the acknowledgement form as proof of application.


Step 05: Social Welfare will do spot verification to verify the details provided by the applicant and process the application further.


Step 06: After successful spot verification by the department, the stipend will be credited to the account of the applicant.",Aadhaar CardRD Number of Caste CertificateRD Number of Income CertificateCopy of the Bank PassbookLaw Degree Certificate ,https://www.myscheme.gov.in/schemes/slg
Incentive Scheme for Sericulture Reelers,"The ""Incentive Scheme for Sericulture Reelers"" was launched by the Minorities Welfare Department, Government of Karnataka, and is implemented by the Karnataka Minorities Development Corporation. The scheme aims to improve the financial condition of minority communities involved in silk reeling and spinning by providing financial assistance through loans and subsidies. This support is intended to enhance working capital, improve basic infrastructure, and promote better productivity and economic stability.","Financial Assistance:
Silk reeling/spinning workers can receive a loan of up to ₹2,00,000/-, with 50% of the loan amount being provided as a subsidy. ","The applicant should belong to the religious minority category of the state.The applicant should be a permanent resident of the state.The applicant's age should be between 18 to 55 years.The family income from all sources should not exceed more than ₹6,00,000/-No member of the applicant's family should be a State/Central Government employee.The applicant or his family members should not have availed of any loan/subsidy facility from the Corporation in the last 5 years except the Arivu education loan and Foreign Education Loan Scheme.The applicant should not be a sustainer of the corporation.","Step-01: Applicant need to visits the Karnataka Minorities Development Corporation official website.  
Step-02: Click ""Apply Online"" and Enter ""Mobile Number"" and ""Submit"".   
Step-03: Enter ""Aadhaar Number"" Fill in the ""Captcha"" and Select ""Next"".
Step-04: Applicant will get OTP in his/her Aadhaar Linked Mobile Number.
Step-05: Enter ""OTP"" and select ""Continue"", After that Allow the official notice.
Step-06: After verifying the Aadhaar again fill in the ""OTP"" and Submit.
Step-07: Select the scheme ""Sikhligar’s Community Development Scheme"" and fill in the basic details father's name, gender, qualification detail
Step-08: Select ""Next"" Fill in the address detail and again select ""Next"".
Step-09: Upload the required document passport-size photo, educational document, income certificate, etc. 
Step-10: Click ""Proceed"" and Select ""Submit Application"" and get an Application ID.",Photo of the Applicant.Minority Certificate (issued by the competent authority).Income Certificate (issued by the competent authority).Copy of Aadhaar as Residential Proof.Copy of Bank Passbook.Project Report.Applicants Self-Declaration.,https://www.myscheme.gov.in/schemes/isfsr
Atma Nirbhar Krishi Yojana,"Atma Nirbhar Krishi Yojana (ANKY) is an ambitious scheme launched by the Chief Minister of Arunachal Pradesh with the aim of promoting self-reliance in the agriculture sector. Under this scheme, farmers are provided with financial assistance and support for various agricultural activities. The scheme focuses on scientific land terracing, doubling cropping, farm mechanization, and apiculture among other activities. Farmers can avail loans of up to Rs. 1.60 lakhs without collateral to invest in these activities. 


The implementation of the scheme is overseen by a state-level committee headed by the Chief Minister. Various banks participate in providing loans under this scheme, enabling farmers to access financial resources easily.","Financial assistance for agricultural activities: The scheme provides financial support to farmers for activities like scientific land terracing, doubling cropping, farm mechanization, and apiculture.Loan without collateral: Farmers can avail loans up to Rs. 1.60 lakhs without the need for collateral, facilitating access to financial resources.Enhanced productivity: By implementing modern farming techniques and practices, farmers can improve their productivity and income.Empowerment of farmers: The scheme empowers farmers by providing them with financial resources and technical assistance to enhance their agricultural practices.Promotes self-reliance: ANKY aims to make farmers self-reliant by enabling them to invest in various agricultural activities and reduce dependence on external factors.Encourages diversified cropping: The scheme promotes the cultivation of different crops, including fruits like apple, kiwi, orange, areca nut, walnut, and persimmon, leading to diversification and increased income for farmers.Support for women in agriculture: ANKY provides a platform for women farmers and members of self-help groups to access financial resources and contribute to the agricultural sector.","Financial assistance for agricultural activities: The scheme provides financial support to farmers for activities like scientific land terracing, doubling cropping, farm mechanization, and apiculture.Loan without collateral: Farmers can avail loans up to Rs. 1.60 lakhs without the need for collateral, facilitating access to financial resources.Enhanced productivity: By implementing modern farming techniques and practices, farmers can improve their productivity and income.Empowerment of farmers: The scheme empowers farmers by providing them with financial resources and technical assistance to enhance their agricultural practices.Promotes self-reliance: ANKY aims to make farmers self-reliant by enabling them to invest in various agricultural activities and reduce dependence on external factors.Encourages diversified cropping: The scheme promotes the cultivation of different crops, including fruits like apple, kiwi, orange, areca nut, walnut, and persimmon, leading to diversification and increased income for farmers.Support for women in agriculture: ANKY provides a platform for women farmers and members of self-help groups to access financial resources and contribute to the agricultural sector.","Step 1: Visit the official website of the respective scheme or visit the nearest Agriculture/Horticulture Department office.


Step 2: Obtain the application form for the desired scheme.


Step 3: Fill in the application form with accurate details and attach the required documents.


Step 4: Submit the completed application form along with the necessary documents to the concerned Agriculture/Horticulture Department office.


Step 5: The application will be verified by the department officials.


Step 6: Upon successful verification, the loan amount or subsidy, as applicable, will be disbursed to the farmer's bank account.","Proof of identity (Aadhaar card, voter ID card, PAN card, etc.)Proof of address (ration card, utility bill, driving license, etc.)Land documents (ownership proof or lease agreement)Bank account detailsPassport-size photographsIncome certificateCaste certificate (if applicable)Self-help group registration certificate (for Atmanirbhar Bagwani Yojana)Any other specific documents mentioned in the application form or scheme guidelines.",https://www.myscheme.gov.in/schemes/anky
